Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18
a72919028f75b53ba8c608c47be4827e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
33cd81f022d0f33ff7793dcae06d8847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
75ba564aabcf9249a866cebe129cc284,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
6d304d7a8d842fe99ee8a64fe5a1f064,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
c342e5d7ac1e56f51616670eb6724dea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20fb25422e18015e8f63ed86e2234144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c5ade61dea036f4c20d2b4257f9598f4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5bd26f2ef24d7176b74ef49561b44891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96ad8de951196cae8fda94372984513b,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
a42b08c0ccbf84e2781b649628f38c64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
91a6eb3533da54b10eb0595d38b49ab4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475dfc66ee3039b81de307d8c6b6e53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31dfd969526ff0ceb9b1461c311a8f0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
03612ade6d0fad70a3fa4f054ab0ca4c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2047d12a71f94280ee7f51cfb989851,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e021663ba652749291f77ab656e02590,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aea8d1e5b0ad4acad424958d22f0d24a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154922357de5241cccaaf07059991f62,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
da02b6a1f40fe21a38ccc7e711c1d1c7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4e3a3788aceda3158b2b26b896d185e8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7438d64aee2df3f7a528f53aee3ea846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9a55668506acf9be0b76cdb314def848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18102c063070de59efbcd671a3e209fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
d847bfa6794cdc9d62ab06af178da922,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c60513610ce8aa3b19ceabebc1ca41c,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a92346d2abff916cf70fdc547e89a529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bc1d220a0ae2b76550d7e4e352d0d4a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
74027ec17feeafe5f4a6b0249080b348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3797032a84b42af81e9496b9855f269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87a3e4ab005ae7548545aa1dd71a9749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671cc7c9004e974ef5ced3a7d91e29d9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7c2aaa945f047cbe0639dd40dbc924a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
a344c5ed6f46f1fe3263a86eb2f39b06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2431ce0502e2f82252c2540a9c0d959b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
